utc_timestamp2018,wind_generation_actual2018,wind_capacity2018,temperature2018
2017-12-18 00:00:00+00:00,343368,48766.542,1.115
2017-12-19 00:00:00+00:00,457762,48802.833,1.499
2017-12-20 00:00:00+00:00,378972,48823.292,3.271
2017-12-21 00:00:00+00:00,754430,48854.125,6.137
2017-12-22 00:00:00+00:00,519328,48880,6.774
2017-12-23 00:00:00+00:00,405051,48880,5.964
2017-12-24 00:00:00+00:00,356747,48880,2.208
2017-12-25 00:00:00+00:00,552750,48880,0.891
2017-12-26 00:00:00+00:00,403203,48880.5,0.671
2017-12-27 00:00:00+00:00,282809,48893.208,1.185
2017-12-28 00:00:00+00:00,228763,48922.75,0.832
2017-12-29 00:00:00+00:00,533095,48963.167,2.093
2017-12-30 00:00:00+00:00,565673,48967.292,3.889
2017-12-31 00:00:00+00:00,245130,48974,4.517
